Gene	CUI
b0181	0.0231906757888
b0182	0.023982544676
b0183	0.0247178998114
b0184	0.0234498510742
b0185	0.02590024512
b0186	0.0222033444107
b0187	0.0225369232921
b0188	0.0228047040131
b0189	0.0230557956768
b4406	0.0215674491236
b0190	0.0246266998097
b0191	0.0223126255865
b0192	0.0221543262548
b0193	0.020622978737
b0194	0.0248163633408
b0195	0.0222831445623
b0196	0.0198498076122
b0197	0.0255257204517
b0198	0.0236643474345
b0199	0.0236050111038
b0200	0.0232533892341
b0207	0.023472314809
b0208	0.0202076468179
b0209	0.0207738894156
b0210	0.0213456789903
b0211	0.0213666164789
b0212	0.018656539516
b0213	0.0194112470578
b0214	0.0224469272254
b0215	0.021982739481
b0217	0.0203410175957
b4586	0.0168232114846
b0219	0.0217169897979
b0220	0.0212747925538
b0221	0.0244378942015
b0222	0.0240431253044
b0223	0.0214206237973
b0224	0.0207680063949
b0225	0.0193825649325
b0226	0.0225610170722
b0227	0.020274768503
b0228	0.0180515401546
b0231	0.0229359691636
b0232	0.0195489098949
b0233	0.0209079784058
b0234	0.0198248233984
b0237	0.0254890517135
b0238	0.0241923361957
b0239	0.0221504294952
b0241	0.0230709992708
b0242	0.0240433650204
b0243	0.0241703078212
b0245	0.0202165574342
b0246	0.02203001806
b4504	0.0197695719711
b0247	0.021354568835
b0248	0.0209462087049
b0249	0.0201709874113
b0250	0.0196744454354
b0251	0.0231310813604
b0252	0.0213395878968
b0253	0.0215014420849
b0254	0.0203728105227
b0256	0.0186108822129
b0259	0.0220782980994
b0260	0.0225477299524
b0261	0.0246901322929
b0262	0.0236815003489
b0264	0.0206896655928
b0265	0.0183743568721
b0267	0.0219360817996
b0268	0.0242356555398
b0269	0.0241972309044
b0270	0.0234570903798
b0271	0.0218147061682
b0272	0.023872924924
b0273	0.0243617879122
b0274	0.0206896655928
b0275	0.0183743568721
b0277	0.0198028169252
b0278	0.0176063050019
b0279	0.0183495616675
b0280	0.0178589730688
b0281	0.0192499313003
b0283	0.0215079941755
b0284	0.0226281630554
b0285	0.0222074043577
b0286	0.0207725154571
b0287	0.019206785071
b0288	0.0175448871685
b0289	0.0199552843642
b0290	0.0202990700646
b0291	0.0212567811598
b0292	0.020832763615
b0293	0.0224315049477
b0294	0.0200211182117
b0295	0.018188695665
b4506	0.0201657136766
b0296	0.0187623621423
b4671	0.0210757594399
b0298	0.0227064320588
b0299	0.0206377280675
b0301	0.0210844568022
b0303	0.019183951704
b0304	0.0207803744102
b0305	0.0194633636343
b0306	0.021952634323
b0307	0.0216924461229
b0308	0.0226024416124
b0310	0.0199541249823
b0311	0.0235302245644
b0312	0.0244466502113
b0313	0.0237082753611
b0314	0.0230823945478
b0315	0.0215498561488
b0316	0.0227619725033
b0317	0.0203168211445
b0318	0.0227219574936
b0319	0.0213255726033
b0320	0.0245888786463
b0321	0.0244671658003
b0323	0.0241608433482
b0324	0.0241427780912
b0325	0.0220752928618
b0326	0.019129131489
b0327	0.0179096042601
b0328	0.0199380959782
b0329	0.0229455280621
b0330	0.0238642616194
b0331	0.0245211463177
b0333	0.0238245927513
b0334	0.0235352550141
b0335	0.0232254344238
b0336	0.0226275668926
b0337	0.0233002000129
b0338	0.020919717826
b0339	0.0209927244206
b0340	0.0242858284176
b0341	0.0228638383863
b0342	0.0195677380685
b0343	0.0230093902645
b0344	0.0226544411693
b0345	0.0232782610481
b0346	0.0235807274483
b0347	0.0237623779866
b0348	0.0217227023029
b0349	0.0248304130523
b0350	0.0233805655594
b0351	0.0236987230662
b0352	0.0239218550179
b0353	0.0223404678868
b0354	0.0232889288819
b0355	0.021405781566
b0356	0.0232250454811
b0357	0.0209816220662
b0358	0.021533134229
b0360	0.0203611637188
b0361	0.0194072998072
b0363	0.020494311923
b0364	0.019830239483
b0365	0.0236555577218
b0366	0.024455637048
b0367	0.0242748259108
b0368	0.0226292199122
b0369	0.023459178944
b0372	0.0206377280675
b0373	0.0227064320588
b0375	0.0197494385038
b0376	0.0222011769165
b0377	0.0222183488411
b0378	0.0223281349672
b0379	0.0220902666528
b0380	0.0231974266421
b0381	0.0231938951715
b0382	0.0213410285488
b0383	0.0232005392261
b0384	0.020606512639
b0385	0.0216825326725
b0386	0.0236942357532
b0387	0.0229754866891
b0388	0.0223138839115
b0389	0.0199876200235
b0390	0.0226670573038
b0391	0.0219399392701
b0393	0.0254276132789
b0394	0.0223464281427
b0396	0.0216967453471
b0397	0.0234380983033
b0398	0.0226361123208
b0399	0.0225761747865
b0400	0.0229550580856
b0401	0.0237339124603
b0402	0.0235297825127
b0403	0.0226798234059
b0404	0.0213877660865
b0405	0.0240400070092
b0406	0.0225009527529
b0407	0.0251287993106
b0408	0.0243379427393
b0409	0.0233561520999
b0410	0.0216688497976
b0411	0.0220724652452
b0412	0.0207640801564
b0413	0.023140312797
b0414	0.0220536953303
b0415	0.0254630007032
b0416	0.024304852251
b0417	0.0223787640159
b0418	0.022272907453
b0419	0.0225356067327
b0420	0.0242311502058
b0421	0.0225879450325
b0422	0.0255865479215
b0423	0.0243935351003
b0424	0.0245978456773
b0425	0.022306492795
b0426	0.0248389145494
b0427	0.0233504356873
b0428	0.0229431750396
b0429	0.0227170126846
b0430	0.0233120960027
b0431	0.0233972787785
b0432	0.0215738946841
b0433	0.0222056858716
b0434	0.024665067788
b0435	0.0204352733126
b0436	0.026091312235
b0437	0.0241162668621
b0438	0.0254500542016
b0439	0.0251665539667
b0440	0.0225579628521
b0441	0.0254300577762
b0442	0.0243350805888
b0443	0.021807285004
b0444	0.023547580889
b0445	0.021385529246
b0446	0.0212677837121
b0447	0.0238910470992
b0448	0.0231946625135
b0449	0.023759960929
b0450	0.0245547740063
b0451	0.0239781263224
b0452	0.022689642821
b0453	0.0219110224588
b0454	0.0208328032798
b0456	0.021560175453
b0457	0.0217118526424
b0458	0.0234798765298
b0459	0.0202992383579
b0460	0.0218833332264
b0461	0.0203785606148
b0462	0.0239065472608
b0463	0.0231896327503
b0464	0.0210958862774
b0465	0.0243054021274
b0466	0.0260944129972
b0467	0.0240631164662
b0468	0.022069339745
b0469	0.0251769551709
b0470	0.024234153547
b0471	0.0260418192431
b0472	0.0230088135384
b0473	0.0255693895047
b0474	0.025342584681
b0475	0.0234185432778
b0476	0.0209678911014
b0477	0.0232050088087
b0478	0.0251433531831
b0479	0.0225844612241
b0480	0.024308800435
b0481	0.0240611538444
b0482	0.0225279305464
b0483	0.0222716793169
b0484	0.0244225241127
b0485	0.0222330762838
