Gene	CUI
b0265	0.0183743568721
b0275	0.0183743568721
b0136	0.0183843351723
b2852	0.0183919026541
b1233	0.0183981764057
b1878	0.0184197092977
b2642	0.0184220765654
b2848	0.0184232460817
b4559	0.0184264207918
b2034	0.0184362462416
b1549	0.0184365949444
b2778	0.0184510355192
b0991	0.0184549494999
b3488	0.0184561935245
b2108	0.0184658651079
b0787	0.0184678596834
b1404	0.0184735908085
b4284	0.0184735908085
b2847	0.0184872373514
b4621	0.0184896810347
b3672	0.0184929266275
b3558	0.0185031814803
b1165	0.0185266471807
b0137	0.0185465038861
b0603	0.018557279989
b1502	0.0185619783326
b1457	0.0185743073312
b0958	0.0185981759566
b0256	0.0186108822129
b4246	0.0186201619043
b4670	0.0186259041504
b1562	0.0186264205628
b0212	0.018656539516
b3716	0.0186598363429
b0558	0.0186637582252
b4590	0.0186814256217
b1144	0.0186817115023
b2367	0.0186841562446
b0987	0.0186941554147
b1532	0.018706811519
b4325	0.0187081116164
b1715	0.0187349392707
b3707	0.0187384251518
b4548	0.018743141255
b2586	0.0187488979954
b0296	0.0187623621423
b0689	0.018764178665
b4684	0.018769834273
b0024	0.0187760967387
b4533	0.0187868007172
b4116	0.0188063739825
b3145	0.0188073743925
b1145	0.0188149794259
b1569	0.018819612835
b0543	0.0188220123536
b4319	0.0188327019155
b0704	0.0188494424137
b3413	0.0188548284361
b4536	0.0188555739392
b4667	0.0188682944921
b4541	0.0188833827058
b4365	0.0188888076683
b2760	0.0188917007764
b2689	0.0189020173737
b3626	0.0189055023637
b3629	0.0189384871174
b1527	0.0189387762047
b4345	0.0189531287017
b3048	0.0189540849335
b0018	0.0189552388538
b3120	0.0189624884395
b0645	0.0189657822875
b2208	0.0189883519612
b0648	0.018989265097
b2629	0.0190000013127
b3594	0.0190085093957
b1762	0.0190156974338
b2038	0.019017023842
b1968	0.0190346784779
b1904	0.0190438425557
b1434	0.019051126627
b0941	0.0190530046387
b1375	0.0190641044349
b3817	0.0190848762435
b3022	0.019094066098
b3219	0.0190999542675
b2767	0.0191016137156
b2637	0.0191054905045
b2756	0.0191135285123
b3215	0.0191165723249
b3173	0.0191172737714
b1140	0.0191187385765
b0326	0.019129131489
b1547	0.0191464613315
b1419	0.0191561679655
b0303	0.019183951704
b4622	0.0191861806841
b0138	0.0191872118188
b1167	0.019194685633
b2754	0.0192000398722
b0287	0.019206785071
b2826	0.0192077341717
b4473	0.0192264809422
b4592	0.0192329096863
b2504	0.0192413681691
b4253	0.0192433541681
b0281	0.0192499313003
b0565	0.019250007753
b4189	0.0192503066267
b0537	0.0192508056504
b1025	0.0192518649001
b1499	0.0192634321044
b2630	0.0192706698867
b1503	0.0192752997091
b2623	0.0192776159943
b2085	0.0192782760467
b0498	0.0192821205388
b1963	0.0192963681417
b4593	0.0192965982049
b4529	0.0192973342095
b1707	0.0192978885145
b3618	0.0192979737061
b1178	0.0193093719688
b4257	0.0193104422362
b1143	0.019310646999
b4666	0.0193231183842
b2274	0.0193254412449
b4287	0.0193335066774
b4705	0.0193360357867
b4311	0.019352014563
b1648	0.0193672935679
b1570	0.0193702173448
b2054	0.0193706366474
b0939	0.0193778655692
b1455	0.0193815685146
b0225	0.0193825649325
b2761	0.0193897298401
b0913	0.0194007909589
b4066	0.0194044342259
b2269	0.0194058680551
b1957	0.0194060702374
b0361	0.0194072998072
b1402	0.0194072998072
b1996	0.0194072998072
b2860	0.0194072998072
b3045	0.0194072998072
b4273	0.0194072998072
b1544	0.0194075381713
b1355	0.0194097545224
b1345	0.0194098240458
b0213	0.0194112470578
b3047	0.0194137670013
b2036	0.0194174364287
b4299	0.019420300104
b2335	0.0194211652365
b2442	0.019423391372
b0005	0.0194368428775
b2443	0.0194375780566
b0530	0.0194382061668
b1352	0.0194400181678
b2759	0.0194455966701
b3121	0.0194526071855
b1001	0.0194577224716
b2628	0.0194633566633
b0305	0.0194633636343
b2273	0.0194779620325
b3557	0.0194839433521
b4662	0.0194845810559
b1177	0.0194857581339
b3483	0.019491937649
b2603	0.0194927148469
b1671	0.0194988319672
b1969	0.0195093693733
b3573	0.0195107001519
b1161	0.0195152317019
b0989	0.0195332801317
b1096	0.0195411703283
b0232	0.0195489098949
b2823	0.0195599128507
b4509	0.0195650039436
b0342	0.0195677380685
b2334	0.0195751123527
b1346	0.0195830753545
b3769	0.0195835973769
b1154	0.0195882635824
b1862	0.0195887676584
b2371	0.0195893759421
b1356	0.0195893826239
b4060	0.0195898414937
b3624	0.0195962747599
b1122	0.0195969973677
b2622	0.0196016986445
b2851	0.0196050508253
b4251	0.0196127874478
b3889	0.0196153176561
b0566	0.0196166749912
b1586	0.0196247643841
b4532	0.0196299284402
b1877	0.0196311614202
b1563	0.0196358929353
b0016	0.0196360132222
b0582	0.0196360132222
b2394	0.0196360132222
b1760	0.0196397428002
b0531	0.0196425120159
b2345	0.0196454875043
b0534	0.0196484191793
b2489	0.0196567277799
b1504	0.019660036588
b0250	0.0196744454354
b3242	0.0196795553964
b3323	0.0196857802602
b3021	0.0196867131088
b0117	0.0196875756867
b0602	0.0196891554204
b1121	0.0196942595707
b2755	0.0197022772556
b2370	0.0197024964198
b2876	0.0197067341201
b1575	0.01971512138
b3890	0.0197189483322
b1824	0.0197324212535
b1895	0.0197362404244
b1769	0.0197368157034
b3283	0.0197385627754
b4133	0.0197387665577
b0375	0.0197494385038
b1039	0.019750009237
b4280	0.0197510171776
b4185	0.019755800494
b3333	0.0197605248842
b3989	0.0197645704428
b4309	0.0197688071312
b4504	0.0197695719711
b2971	0.0197702729013
b0555	0.0197732220156
b3491	0.0197847833873
b2377	0.019788774667
b0535	0.0197899024208
b2886	0.0197900114062
b2625	0.0197919457387
b1985	0.0197983121997
b1164	0.0198007856624
b0277	0.0198028169252
b4348	0.0198076502278
b1021	0.019815650549
b3216	0.0198206871896
b0234	0.0198248233984
b0364	0.019830239483
b3299	0.0198331399418
b1990	0.0198357868256
b1460	0.0198378150847
b3441	0.0198469836677
b1454	0.0198486004343
b0196	0.0198498076122
b1359	0.0198502143251
b2351	0.0198575482752
b1287	0.0198690193572
b1289	0.0198697609633
b0885	0.0198761136634
b2877	0.0198775400999
b2605	0.0198804789761
b1790	0.0198855049135
b3563	0.0198856693911
b0583	0.0198909385917
b2627	0.0198967838665
b1951	0.0199006754791
b0139	0.0199118169209
b3050	0.0199120792152
b4672	0.0199129296949
b1626	0.0199134167174
b3130	0.0199151326534
b2271	0.0199154019839
b0901	0.0199204158639
b2357	0.0199214055397
b3570	0.0199214516005
b1988	0.0199297268292
b4047	0.019930358675
b0328	0.0199380959782
b1974	0.0199417701894
b3515	0.019941832423
b1432	0.0199533154862
b0310	0.0199541249823
b0289	0.0199552843642
b2830	0.0199556778179
b2032	0.0199560081644
b3188	0.0199626026143
b4346	0.0199778627601
b2782	0.0199834077738
b1576	0.0199850787629
b0389	0.0199876200235
b0647	0.0199900920236
b2587	0.0199960131603
b4455	0.019996338871
b1040	0.0200030380513
b1491	0.020008845055
b4366	0.0200107958113
b3392	0.0200111816169
b1168	0.0200112034041
b0843	0.0200118112491
b2602	0.0200128019418
b0943	0.0200185804866
b0294	0.0200211182117
b1372	0.0200371287782
b3484	0.0200441629616
b3627	0.0200446251503
b4315	0.0200449229424
b3696	0.0200457392807
b2939	0.0200504034097
b3334	0.0200507735411
b4317	0.0200536128883
b4685	0.0200554419492
b1024	0.0200658517908
b0551	0.0200685247351
b1841	0.020071878059
b1561	0.020074271128
b4048	0.0200761469066
b4326	0.0200798636849
b1104	0.0200814609992
b2275	0.0200886721201
b1023	0.0200908461931
b4501	0.0200911599971
b4318	0.0200927660718
b1202	0.0200939573147
b1411	0.0200960706066
b2647	0.0200995920884
b1797	0.0201002976172
b1408	0.0201011580763
b2181	0.0201017994496
b1973	0.0201027280513
b4222	0.0201041236332
b1268	0.0201093409333
b1347	0.0201093687978
b1932	0.0201120776662
b1238	0.0201177596122
b3096	0.020118756194
b1678	0.0201193504428
b4307	0.0201234931643
b4017	0.0201279821137
b2094	0.0201384983457
b0147	0.0201393280734
b2570	0.0201491515705
b3577	0.0201504255979
b2446	0.0201513799448
b0944	0.0201516602022
b4320	0.020153718391
b4428	0.0201578222565
b0532	0.0201595032645
b2349	0.0201625334098
b2102	0.0201631539154
b4506	0.0201657136766
b3214	0.0201696762196
b0249	0.0201709874113
b1409	0.0201777738392
b1391	0.0201798420204
b1708	0.0201880228209
b0938	0.0202033962684
